Id,LotArea,TotalRooms,YearBuilt,GarageCars,PropertyType,CentralAir,Neighborhood,DistanceToCenter,SalePrice
1,1000000.0,6,2019.0,0,Studio,Yes,Rural,22.719418632273147,283723.0611206187
2,,3,1994.0,0,Villa,No,Suburbs,10.126001976688961,50.0
3,,99,1996.0,0,Apartment,No,Rural,24.781899959586486,290302.8483181661
4,7284.544784612038,9,2050.0,3,Apartment,Yes,Downtown,41.67868490697978,331503.65478956065
5,4648.769937914996,3,1963.0,3,Duplex,Yes,Suburbs,47.57997696240162,185141.4947151186
6,4648.794564576229,2,2003.0,2,Apartment,Yes,Downtown,32.07838001912533,177822.64268995327
7,7368.819223261087,7,2020.0,2,Apartment,Yes,Suburbs,18.341377693379034,346152.3504518409
8,6151.152093729363,7,1995.0,2,Villa,Y,Downtown,30.562952716585322,297926.03218523134
9,4295.788421097572,4,,0,Apartment,Yes,Rural,16.28806399931407,204036.39680537034
10,5813.840065378947,9,2008.0,1,Villa,Yes,Suburbs,45.58135840077096,313745.44131091045
11,4304.873460781307,8,1978.0,3,Duplex,Y,Rural,43.649622692186014,250865.47718759862
12,4301.405369644614,1,1966.0,0,Villa,No,Rural,28.353355763703387,128808.27225177303
13,5362.943407349051,1,1963.0,0,Studio,Yes,Downtown,16.915146853637665,153391.2312567727
14,2130.079633013303,5,1985.0,2,Studio,No,Suburbs,15.37609410356594,188763.2162718682
15,2412.623251230451,6,2007.0,2,Duplex,Yes,Rural,2.637481740547914,240756.1518215056
16,4156.568706138541,3,1973.0,0,Apartment,Yes,Downtown,40.975221700239466,154758.51248257796
17,3480.7533194983644,9,2012.0,3,Villa,Yes,Downtown,23.06877743891139,308953.8115337835
18,5471.37099889291,6,1974.0,3,Studio,Yes,Downtown,16.931513491612957,279397.8779047081
19,3637.963886718184,4,2008.0,0,Villa,Yes,Suburbs,24.08440739488994,187680.48889416584
20,2881.544447997063,7,1981.0,1,Studio,Yes,Suburbs,41.118161532277945,186095.23313541996
21,7198.473153382331,8,1967.0,1,Villa,Yes,Downtown,7.1060961776685385,334026.5705382157
22,4661.335549270197,9,1986.0,3,Apartment,Yes,Suburbs,43.02514342384954,281636.6036558375
23,5101.292307031886,6,1975.0,2,Duplex,yes,Downtown,44.97793292030934,238438.33093767203
24,2862.877720679815,6,,1,Apartment,Yes,Suburbs,47.38868783666052,159621.15023576748
25,4183.425913212226,8,2013.0,1,Villa,Yes,Suburbs,20.476911628708763,286698.68414737267
26,5166.383884564799,5,2021.0,2,Studio,Yes,Downtown,11.639879797845921,276050.9675730349
27,3273.5096338665458,3,1969.0,1,Studio,No,Downtown,19.308400104868227,170584.31383001572
28,5563.547027518508,3,2003.0,0,Duplex,No,Suburbs,17.31269271533876,219316.3748671178
29,4099.041965121793,6,,1,Apartment,Yes,Downtown,9.631541712640143,227595.93387541044
30,4562.459375310085,2,2002.0,2,Apartment,Yes,Downtown,30.75606683497291,182839.34631266224
